team_id,rating,wins,losses,last_match_time,name,tag,logo_url
1838315,1653.79,876,392,1603486681,Team Secret,Secret,https://steamcdn-a.akamaihd.net/apps/dota2/images/team_logos/1838315.png
15,1552.02,1249,800,1603623050,PSG.LGD,PSG.LGD,https://steamcdn-a.akamaihd.net/apps/dota2/images/team_logos/15.png
726228,1492.94,1178,776,1602505154,Vici Gaming,VG,https://steamcdn-a.akamaihd.net/apps/dota2/images/team_logos/726228.png
7390454,1464.21,147,49,1603580398,Quincy Crew,QCY,https://steamusercontent-a.akamaihd.net/ugc/1020573621662037882/89654B0AE81F2C2075D8CA17CEB9C4F08B9B0D1C/
5228654,1450.04,79,36,1535061995,VGJ Storm,VGJ.Storm,https://steamcdn-a.akamaihd.net/apps/dota2/images/team_logos/5228654.png
5026801,1429.8,176,116,1535053843,,,https://steamcdn-a.akamaihd.net/apps/dota2/images/team_logos/5026801.png
3214108,1401.12,136,90,1498631388,Team NP,NP,https://steamcdn-a.akamaihd.net/apps/dota2/images/team_logos/3214108.png
2519319,1389.0,45,16,1445985009,(monkey) Business,(monkey),https://steamusercontent-a.akamaihd.net/ugc/383162071968605685/B670804CDB13F184D122ACBB8F75E2DB2C959CAF/
7819701,1381.67,76,40,1601139882,VP.Prodigy,VP.P,https://steamusercontent-a.akamaihd.net/ugc/1009310639742423917/9175453DE6C700E0CC6D547F437B4819F1144A1A/
111474,1375.86,1074,808,1603658055,Alliance,Alliance,https://steamcdn-a.akamaihd.net/apps/dota2/images/team_logos/111474.png
166,1367.5,50,9,1592593762,Scenario,,https://steamusercontent-a.akamaihd.net/ugc/446239101709580944/AF223FFF8C97C749BD68B21C41B447EFDAC7123C/
2101260,1360.39,35,17,1423390272,BigGooooood,BG,https://steamusercontent-a.akamaihd.net/ugc/53249782181410639/A754634D7F2CA2B33322789ED2EBB953DADEEDA5/
8121295,1350.53,35,9,1603569481,mudgolems,,https://steamusercontent-a.akamaihd.net/ugc/1635325934676609507/8E073AB63209CE73BD08E056B1C6CCE1014B3890/
2163,1346.48,959,629,1603649820,Team Liquid,Liquid,https://steamcdn-a.akamaihd.net/apps/dota2/images/team_logos/2163.png
4,1343.4,751,596,1603609481,EHOME,EHOME,https://steamcdn-a.akamaihd.net/apps/dota2/images/team_logos/4.png
6209166,1343.32,246,234,1603623050,Team Aster,Aster,https://steamusercontent-a.akamaihd.net/ugc/1001430487518930631/0496D52E3C45C2224314D8AE3738B0E2CE707CFC/
6953913,1342.56,176,140,1600707049,FlyToMoon,FTM,https://steamusercontent-a.akamaihd.net/ugc/916953413384701477/58A15D27D05A5051190589BBED3CDD362AFC3C86/
1848158,1338.35,46,29,1420608609,LV-Gaming,Lv,
999689,1336.72,182,87,1411994693,Titan,Titan,https://steamusercontent-a.akamaihd.net/ugc/612798094497099775/B31FD08745284986F02B3FE04021574F964D9FA1/
7667536,1333.65,135,66,1603704172,MOTIVADE.TRUST GAMING,MG.Trust,https://steamusercontent-a.akamaihd.net/ugc/770617831430854146/B94ED58DFF2B50B6CE55BBC96514B89CF979BD89/
1883502,1323.95,1252,951,1599067274,Virtus.pro,VP,https://steamcdn-a.akamaihd.net/apps/dota2/images/team_logos/1883502.png
6214538,1323.25,115,95,1566447672,Newbee,Newbee,https://steamcdn-a.akamaihd.net/apps/dota2/images/team_logos/6214538.png
6685591,1318.95,250,159,1603556228,ViKin.gg,Vikin.gg,https://steamusercontent-a.akamaihd.net/ugc/1628571207900914834/9A093A05B2DDED488984470F0FADEFDE1F5EDE9F/
5229127,1317.83,55,40,1534963179,Winstrike,Winstrike,https://steamcdn-a.akamaihd.net/apps/dota2/images/team_logos/5229127.png
4251435,1314.81,52,41,1506108006,w33ha earthspirit,,https://steamcdn-a.akamaihd.net/apps/dota2/images/team_logos/4251435.png
543897,1311.7,587,503,1566461924,Mineski,Mineski,https://steamcdn-a.akamaihd.net/apps/dota2/images/team_logos/543897.png
2586976,1308.66,634,378,1603658055,OG,OG,https://steamcdn-a.akamaihd.net/apps/dota2/images/team_logos/2586976.png
1910985,1306.77,90,39,1432358766,TeamMalaysia,MY,
2672298,1305.89,411,352,1603668065,Infamous Gaming,Infamous,https://steamcdn-a.akamaihd.net/apps/dota2/images/team_logos/2672298.png
6409189,1299.14,167,132,1592067832,Team Empire Hope,EmpireH,https://steamusercontent-a.akamaihd.net/ugc/788624714192129581/94E7F21983B7BB2007C0273EB9A447386433DB36/
3922738,1298.86,49,18,1501539783, Thunder Awaken ///,Thunder,https://steamusercontent-a.akamaihd.net/ugc/170412655661567888/FEF408443C2CA8AB1953CFA3E530AB9D5EE7ADB7/
1520578,1296.54,685,551,1603699604,CDEC ,CDEC,https://steamcdn-a.akamaihd.net/apps/dota2/images/team_logos/1520578.png
7554697,1296.12,139,105,1603649820,Nigma,Nigma,https://steamusercontent-a.akamaihd.net/ugc/1469815174067206998/6E7F0A29C40619F298C5E9A16C506D5A638A72F0/
1820360,1289.92,127,108,1503241925,TEAMERINO TINKERINO,TT,
7553952,1284.91,75,41,1587488785,Chicken Fighters !,ChFight!,https://steamusercontent-a.akamaihd.net/ugc/769486732001897391/E5A91F8FB5ACFE3BC4DF89158B318C4D34960F80/
293390,1284.02,194,188,1401640167,Radical Online X-tremists,RoX.KIS,https://steamusercontent-a.akamaihd.net/ugc/921253447668725714/13C7456AA325AD7AC03DC7D117483E8DBDAD5486/
7203342,1283.86,43,34,1581551146,Chaos EC,CHAOS,https://steamusercontent-a.akamaihd.net/ugc/785254538964288557/60C71B6F83A686A41F3AC5455A70D930B92C41F0/
1047281,1282.72,51,29,1389816358,Speed Gaming International,SPG.int,
7748744,1278.99,120,95,1600829726,CR4ZY,CR4ZY,https://steamusercontent-a.akamaihd.net/ugc/777372824325330501/0203F5435560EFC32DDBB0B7D170ECF50CCD3BE6/
6209804,1273.45,272,226,1603439149,Royal Never Give Up,RNG,https://steamcdn-a.akamaihd.net/apps/dota2/images/team_logos/6209804.png
8124688,1273.32,31,14,1603697858,LBZS,,https://steamusercontent-a.akamaihd.net/ugc/1627444845923686548/5F32B380E924502CC0175E6FCD681E9ABDD18E28/
2526472,1273.19,23,7,1444158470,$5JuNGz$,$5JuNGz$,https://steamusercontent-a.akamaihd.net/ugc/620723145147160586/09F1EF05604FC45B22E2B5986715441FB8FCA786/
5027210,1271.22,137,109,1534821698,VGJ Thunder,VGJ.T,https://steamcdn-a.akamaihd.net/apps/dota2/images/team_logos/5027210.png
36,1269.98,980,809,1603473361,Natus Vincere,Na`Vi,https://steamcdn-a.akamaihd.net/apps/dota2/images/team_logos/36.png
3326875,1269.74,131,73,1498579717,Faceless,fL,https://steamcdn-a.akamaihd.net/apps/dota2/images/team_logos/3326875.png
7555613,1263.38,89,74,1592502969,OG.Seed,OG.S,https://steamusercontent-a.akamaihd.net/ugc/1004809121655041802/D9C893AC4F6CF2DA59CB22CF7FE1885133389F9A/
8119006,1259.63,19,6,1601186472,Among Us,AUS,https://steamusercontent-a.akamaihd.net/ugc/1617311354350013884/6D9A00FEEBF5C70482B1F743EF44EC0764BA4F9F/
7405754,1259.51,26,9,1572362697,Positive Guys,PG,https://steamusercontent-a.akamaihd.net/ugc/766098228974731217/3D71569580889E44075A700A836DCC0BA86F1160/
7424172,1257.53,99,81,1599118256,T1,T1,https://steamusercontent-a.akamaihd.net/ugc/773981969136635863/BE28F059BD864F4820323DE5DDD864D4C353CA87/
3326126,1254.42,66,45,1483257669,Team VG.J,VG.J,https://steamcdn-a.akamaihd.net/apps/dota2/images/team_logos/3326126.png
5167450,1251.51,54,11,1599396591,boths try again,,https://steamusercontent-a.akamaihd.net/ugc/918037462607738825/EFE9B00D09AF63974DD0FA51DE48ED47CD51334E/
3722973,1251.35,28,24,1489787368,Team Onyx,Onyx,https://steamcdn-a.akamaihd.net/apps/dota2/images/team_logos/3722973.png
39,1250.22,1127,689,1599242421,Evil Geniuses,EG,https://steamcdn-a.akamaihd.net/apps/dota2/images/team_logos/39.png
416900,1247.49,67,47,1378648464,Orange.Neolution Esports,Orange,https://steamusercontent-a.akamaihd.net/ugc/612760050488516720/DF0EE7F44746239DBA83B8F4537758ECBB51655E/
6382740,1247.38,61,40,1565416228,Royal,Royal,https://steamusercontent-a.akamaihd.net/ugc/937206137839516292/51F476E62579AA097D2035B9BECC8ADB827660CF/
7806386,1243.51,27,14,1588294053,Quincy Crew,,
2635099,1242.81,124,86,1469212980,CDEC.Y,,https://steamusercontent-a.akamaihd.net/ugc/266100190168033440/3164343438ECC6AB8E76D0B59349F00CC4034296/
2777247,1242.13,124,84,1470701768,,,https://steamcdn-a.akamaihd.net/apps/dota2/images/team_logos/2777247.png
